Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
0,a-63addc92509c11eb9aea8c8590014502,Salisa,0,0,255210,0,Influencer,0,0,200371,0,0.0,0.0,19345.0,0.0,0,0,337,0,200371,19345.0,337,Micro
1,a-63acb326509c11eb9aea8c8590014502,พลอย CocoPsyche,190316000000000,215498482,27037812,UCozLn6MYkPJ9q0rl0ePX3PA,Influencer,0,14,7983,25,0.0,95.0,9657.0,53800.0,0,20,125,2,8022,63552.0,147,Micro
2,a-63aa9820509c11eb9aea8c8590014502,Bew Varaporn,174571000000000,0,27267851,UCHxUo3oQLnND1loFjxHvOTA,Influencer,359110,0,5395207,407872,50851.0,0.0,349150.0,530000.0,1462,0,586,165,6162189,930001.0,2213,Macro
3,a-63ac7370509c11eb9aea8c8590014502,นักรีวิวสมัครเล่น,380896000000000,524057471,10836321,0,Influencer,2728275,1627744,123364,0,406403.0,92279.0,13886.0,0.0,3213,1290,283,0,4479383,512568.0,4786,Macro
4,a-63ab2c5e509c11eb9aea8c8590014502,Ninew Yopang,641443000000000,1.11924e+,19617857,UCVwOinyAQOA1it1VfaWquzQ,Influencer,0,0,14010,32,0.0,0.0,15720.0,1400.0,0,0,78,16,14042,17120.0,94,Micro
5,a-63abf256509c11eb9aea8c8590014502,lumai (@looookmai),0,8.20785e+,7636803030,0,Influencer,0,0,5251,0,0.0,0.0,890.0,0.0,0,0,51,0,5251,890.0,51,End-user
6,a-63aea7bc509c11eb9aea8c8590014502,minireview_by_mint,0,0,8563573780,0,Influencer,0,0,2399,0,0.0,0.0,1426.0,0.0,0,0,38,0,2399,1426.0,38,Nano
7,a-63aeb478509c11eb9aea8c8590014502,nanapat,0,0,3657727,0,Influencer,0,0,561674,0,0.0,0.0,30017.0,0.0,0,0,291,0,561674,30017.0,291,Micro
8,a-63ab560c509c11eb9aea8c8590014502,Pureswan,160126000000000,8.77872e+,36056065,UCyckAipioiuhPV17VUstwZQ,Influencer,0,0,65597,48814,0.0,0.0,15374.0,82700.0,0,0,97,54,114411,98074.0,151,Micro
9,a-63abda28509c11eb9aea8c8590014502,jimmakeup,137820000000000,0,346627680,UC-WQANI-MMUqIxibiVex5YA,Influencer,0,0,85920,7,0.0,0.0,82819.0,1120.0,0,0,280,1,85927,83939.0,281,Micro
10,a-63aeedbc509c11eb9aea8c8590014502,ppraewq,0,0,0,UCYGy1fRmdPun61cqHaE-kFw,Influencer,0,0,0,63688,0.0,0.0,0.0,34500.0,0,0,0,19,63688,34500.0,19,Micro
11,a-63ae63a6509c11eb9aea8c8590014502,jejee__s,0,0,1456727223,0,Influencer,0,0,207829,0,0.0,0.0,43284.0,0.0,0,0,249,0,207829,43284.0,249,Micro
12,a-63ac86a8509c11eb9aea8c8590014502,น้องนอนในห้องลองเสื้อ,2046830000000000,0,6119137522,0,Influencer,99731,0,62842,0,18954.0,0.0,3430.0,0.0,3220,0,333,0,162573,22384.0,3553,Micro
13,a-63ae1dce509c11eb9aea8c8590014502,belltatcha,0,0,184130045,0,Influencer,0,0,515922,0,0.0,0.0,136892.0,0.0,0,0,174,0,515922,136892.0,174,Macro
14,a-63abcc0e509c11eb9aea8c8590014502,iceamore,1687900000000000,7.06503e+,426993395,UCLGFZ2cDoCKZ4592XavdpaQ,Influencer,0,0,45223,2,0.0,0.0,13617.0,2890.0,0,0,227,1,45225,16507.0,228,Micro
15,a-63ad9d5e509c11eb9aea8c8590014502,Cute Anongnart,0,0,4124976,0,Influencer,0,0,2010140,0,0.0,0.0,145379.0,0.0,0,0,173,0,2010140,145379.0,173,Macro
16,a-63aaebfe509c11eb9aea8c8590014502,Jayzpanda,1588490000000000,0,266944230,0,Influencer,4925,0,6602,0,3107.0,0.0,7272.0,0.0,937,0,320,0,11527,10379.0,1257,Micro
17,a-63ac43f0509c11eb9aea8c8590014502,ของขวัญ วศินี สิทธิวรพงศ์,1396270000000000,56053982,4427688,UC-KEohy5ILW9zMKO8X4JAtw,Influencer,0,1543374,774640,29076,0.0,191546.0,81824.0,130000.0,0,1287,561,87,2347090,403370.0,1935,Macro
18,a-63ac2dc0509c11eb9aea8c8590014502,tommy_hairstylist,0,0,309196548,0,Influencer,0,0,1887,0,0.0,0.0,5986.0,0.0,0,0,91,0,1887,5986.0,91,Nano
19,a-63ab28c6509c11eb9aea8c8590014502,Netty Vichyanond,279930000000000,9.26512e+,2523488656,UC5TwpipeRp0pgbzGMLjRmtQ,Influencer,0,0,251459,163,0.0,0.0,29310.0,4970.0,0,0,469,1,251622,34280.0,470,Micro
20,a-63aa4bf4509c11eb9aea8c8590014502,Arifah KH,1225590000000000,9.88333e+,748429180,UCDuqvTkbXM4QRHYxkg-gM2A,Influencer,88782,0,502833,171075,95196.0,0.0,110071.0,399000.0,633,0,300,62,762690,604267.0,995,Macro
21,a-63ab59b8509c11eb9aea8c8590014502,Richynichakan,0,0,3498756,0,Influencer,0,0,36935,0,0.0,0.0,35730.0,0.0,0,0,218,0,36935,35730.0,218,Micro
22,a-63aa331c509c11eb9aea8c8590014502,นีน่า แพรวเพชร กาญจน์เกียรติกุล,284933000000000,300501933,15772715,UCD78d7Ql9GjulCpUctHczOw,Influencer,0,0,582382,11410,0.0,0.0,119259.0,196000.0,0,0,282,37,593792,315259.0,319,Macro
23,a-63acebc0509c11eb9aea8c8590014502,รีวิวเบๆบ้านๆ,323099000000000,8.24671e+,246510893,UCb69IedaU6SwjOQNLyM1cNw,Influencer,0,0,185,2,0.0,0.0,1153.0,81.0,0,0,5,3,187,1234.0,8,Nano
24,a-63aa39fc509c11eb9aea8c8590014502,Amy Kitiya,1585600000000000,107074665,180523346,UCSSIP-OxRpfZSCFufta3rbg,Influencer,16997501,0,1599761,828564,850838.0,0.0,337335.0,1290000.0,2487,0,233,182,19425826,2478173.0,2902,Mega
25,a-63ab0b84509c11eb9aea8c8590014502,MadamPam,292538000000000,0,637388903,UC8f28g9RvVVH1HdMq4pB1vw,Influencer,0,0,12112,392465,0.0,0.0,7305.0,953000.0,0,0,29,314,404577,960305.0,343,Macro
26,a-63ad65f0509c11eb9aea8c8590014502,โมเม นภัสสร บูรณศิริ,178051000000000,33849773,2175043,UCLHeVa_D8h-l_Y9Ww6CF_Yw,Influencer,0,32003,1180514,147833,0.0,270421.0,779728.0,225000.0,0,48,236,54,1360350,1275149.0,338,Mega
27,a-63aafb8a509c11eb9aea8c8590014502,LEEAH,487547000000000,0,24558648,UCTV27gibr60_wCvK6rJrJfA,Influencer,0,0,720969,298162,0.0,0.0,320152.0,777000.0,0,0,238,59,1019131,1097152.0,297,Mega
28,a-63ad4976509c11eb9aea8c8590014502,เอิ๊ก พีรญา ป้อมอาษา,108337000000000,63753577,30656287,UCjj2pPHTiXRcqhWNyRSqvLg,Influencer,0,165249,101908,8191,0.0,25848.0,82825.0,123000.0,0,703,331,766,275348,231673.0,1800,Macro
29,a-63ac3c84509c11eb9aea8c8590014502,ก็ฝ้ายจะรีวิว,1741850000000000,7.018e+,8744655,UCc2J6ayB7mWGUHu4rg8dTPA,Influencer,0,0,19536,18040,0.0,0.0,4782.0,20600.0,0,0,120,42,37576,25382.0,162,Micro
30,a-63aeac6c509c11eb9aea8c8590014502,mm.sharing,0,0,8675959640,0,Influencer,0,0,3584,0,0.0,0.0,3207.0,0.0,0,0,31,0,3584,3207.0,31,Nano
31,a-63adf1aa509c11eb9aea8c8590014502,The Equinox Fashion,363353000000000,2265895975,1183489885,UCYUG_4wQvoLVgJsFsaK71Zg,Influencer,0,0,27171,0,12548.0,0.0,16682.0,0.0,8,0,116,0,27171,29230.0,124,Micro
32,a-63abc182509c11eb9aea8c8590014502,hackmakeup,1452980000000000,0,45303898,UChyaJ0Ff8O5qKoFFcUJzpaw,Influencer,0,0,147215,464,0.0,0.0,63988.0,44600.0,0,0,486,1,147679,108588.0,487,Macro
33,a-63ac4044509c11eb9aea8c8590014502,ก๊อบแก๊บรีวิว,1844180000000000,3247381862,563704988,UC3fH7nkjAknw0qAFSo9UTfw,Influencer,963908,519504,251,0,401294.0,114713.0,4351.0,0.0,1048,435,2,0,1483663,520358.0,1485,Macro
34,a-63ac2668509c11eb9aea8c8590014502,teethory,1094490000000000,0,257571174,0,Influencer,0,0,31667,0,0.0,0.0,44326.0,0.0,0,0,156,0,31667,44326.0,156,Micro
35,a-63aed638509c11eb9aea8c8590014502,pearlinstyle,310636000000000,8.73014e+,7584063,UCk2v6g55RJ1sMsEE5uXtQNw,Influencer,0,0,42583,1,0.0,0.0,49044.0,4070.0,0,0,187,1,42584,53114.0,188,Micro
36,a-63ad1096509c11eb9aea8c8590014502,ออนนีเยปอ,1416880000000000,232197679,28828289,UCL8cE_NZf4okJgbxVfp0nqw,Influencer,26916,532037,154437,4316,25517.0,48467.0,12162.0,23200.0,770,885,367,19,717706,109346.0,2041,Macro
37,a-63ac4b48509c11eb9aea8c8590014502,จูน June Jellyjune,156629000000000,357932182,8085205,UC_R-zxnAveaNrMykuLmeT-Q,Influencer,0,0,289917,13061,0.0,0.0,44977.0,86600.0,0,0,326,25,302978,131577.0,351,Macro
38,a-63acdcfc509c11eb9aea8c8590014502,รีวิวมนุษย์ผิวแห้ง,147698000000000,0,5552867820,0,Influencer,688506,0,0,0,206999.0,0.0,0.0,0.0,1905,0,0,0,688506,206999.0,1905,Macro
39,a-63accd16509c11eb9aea8c8590014502,มด ดวงกมล ถิระวัฒน์,169038000000000,1.24373e+,5292755,UCNZX1IbveXhEyk6p75AwFmA,Influencer,0,0,711022,103,0.0,0.0,132796.0,75300.0,0,0,1941,6,711125,208096.0,1947,Macro
40,a-63adee30509c11eb9aea8c8590014502,Tewfortew,0,0,0,UCV2Pm71yTsj31_pTOpqlJFQ,Influencer,0,0,0,69032,0.0,0.0,0.0,40900.0,0,0,0,71,69032,40900.0,71,Micro
41,a-63af02fc509c11eb9aea8c8590014502,tonnkhaw,0,0,306735443,0,Influencer,0,0,1596099,0,0.0,0.0,63470.0,0.0,0,0,351,0,1596099,63470.0,351,Micro
42,a-63ae035c509c11eb9aea8c8590014502,Znysomm,0,0,227668800,0,Influencer,0,0,49421,0,0.0,0.0,19634.0,0.0,0,0,98,0,49421,19634.0,98,Micro
43,a-63ac6574509c11eb9aea8c8590014502,ทราย นันทวรรณ พรชัยจันทร์เพ็ญ,1.01501e+,34886734,4196834,UCdQseYZOsfJqJ3ldo9y83oA,Influencer,0,711885,454054,6884,0.0,29185.0,163719.0,129000.0,0,995,614,29,1172823,321904.0,1638,Macro
