account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
Salisa,Influencer,0,0,67790,0,0.0,0.0,13185.0,0.0,0,0,91,0,67790,13185.0,91,Micro
พลอย CocoPsyche,Influencer,0,0,2238,0,0.0,93.0,9427.0,0.0,0,1,29,0,2238,9520.0,30,Micro
Bew Varaporn,Influencer,97137,0,1185993,88353,44328.0,0.0,349150.0,517000.0,398,0,134,41,1371483,910478.0,573,Macro
นักรีวิวสมัครเล่น,Influencer,749459,531916,46008,0,348665.0,88199.0,5769.0,0.0,813,327,81,0,1327383,442633.0,1221,Macro
Ninew Yopang,Influencer,0,0,2095,0,0.0,0.0,15720.0,0.0,0,0,20,0,2095,15720.0,20,Micro
lumai (@looookmai),Influencer,0,0,927,0,0.0,0.0,890.0,0.0,0,0,13,0,927,890.0,13,End-user
minireview_by_mint,Influencer,0,0,524,0,0.0,0.0,1426.0,0.0,0,0,11,0,524,1426.0,11,Nano
nanapat,Influencer,0,0,211807,0,0.0,0.0,30017.0,0.0,0,0,91,0,211807,30017.0,91,Micro
Pureswan,Influencer,0,0,21639,1259,0.0,0.0,7433.0,81000.0,0,0,31,13,22898,88433.0,44,Micro
jimmakeup,Influencer,0,0,12427,0,0.0,0.0,81108.0,0.0,0,0,36,0,12427,81108.0,36,Micro
ppraewq,Influencer,0,0,0,36092,0.0,0.0,0.0,34500.0,0,0,0,9,36092,34500.0,9,Micro
jejee__s,Influencer,0,0,66979,0,0.0,0.0,43284.0,0.0,0,0,71,0,66979,43284.0,71,Micro
น้องนอนในห้องลองเสื้อ,Influencer,26393,0,23370,0,18011.0,0.0,3430.0,0.0,873,0,111,0,49763,21441.0,984,Micro
belltatcha,Influencer,0,0,84562,0,0.0,0.0,136892.0,0.0,0,0,33,0,84562,136892.0,33,Macro
iceamore,Influencer,0,0,10916,0,0.0,0.0,13617.0,0.0,0,0,50,0,10916,13617.0,50,Micro
Cute Anongnart,Influencer,0,0,606828,0,0.0,0.0,143802.0,0.0,0,0,50,0,606828,143802.0,50,Macro
Jayzpanda,Influencer,1347,0,1824,0,3093.0,0.0,1879.0,0.0,358,0,82,0,3171,4972.0,440,Micro
ของขวัญ วศินี สิทธิวรพงศ์,Influencer,0,306270,222164,5655,0.0,187003.0,50720.0,128000.0,0,311,158,19,534089,365723.0,488,Macro
tommy_hairstylist,Influencer,0,0,320,0,0.0,0.0,5986.0,0.0,0,0,13,0,320,5986.0,13,Nano
Netty Vichyanond,Influencer,0,0,48888,0,0.0,0.0,6886.0,0.0,0,0,104,0,48888,6886.0,104,Micro
Arifah KH,Influencer,15834,0,136005,28999,92117.0,0.0,92997.0,397000.0,146,0,81,15,180838,582114.0,242,Macro
Richynichakan,Influencer,0,0,6244,0,0.0,0.0,35730.0,0.0,0,0,40,0,6244,35730.0,40,Micro
นีน่า แพรวเพชร กาญจน์เกียรติกุล,Influencer,0,0,184643,2362,0.0,0.0,115356.0,195000.0,0,0,68,11,187005,310356.0,79,Macro
รีวิวเบๆบ้านๆ,Influencer,0,0,27,0,0.0,0.0,1153.0,0.0,0,0,1,0,27,1153.0,1,Nano
Amy Kitiya,Influencer,4721701,0,385121,210507,816084.0,0.0,228118.0,1270000.0,617,0,56,51,5317329,2314202.0,724,Mega
MadamPam,Influencer,0,0,1467,87688,0.0,0.0,7305.0,940000.0,0,0,3,82,89155,947305.0,85,Macro
โมเม นภัสสร บูรณศิริ,Influencer,0,29356,382044,40132,0.0,270421.0,779728.0,219000.0,0,20,72,18,451532,1269149.0,110,Mega
LEEAH,Influencer,0,0,137355,78766,0.0,0.0,319528.0,759000.0,0,0,50,16,216121,1078528.0,66,Mega
เอิ๊ก พีรญา ป้อมอาษา,Influencer,0,59881,20974,252,0.0,25209.0,82825.0,122000.0,0,162,66,10,81107,230034.0,238,Macro
ก็ฝ้ายจะรีวิว,Influencer,0,0,3094,1587,0.0,0.0,1754.0,18800.0,0,0,18,8,4681,20554.0,26,Micro
mm.sharing,Influencer,0,0,488,0,0.0,0.0,3207.0,0.0,0,0,7,0,488,3207.0,7,Nano
The Equinox Fashion,Influencer,0,0,12422,0,0.0,0.0,16682.0,0.0,0,0,32,0,12422,16682.0,32,Micro
hackmakeup,Influencer,0,0,56770,0,0.0,0.0,47484.0,0.0,0,0,150,0,56770,47484.0,150,Macro
ก๊อบแก๊บรีวิว,Influencer,214835,35873,0,0,381729.0,113387.0,0.0,0.0,230,78,0,0,250708,495116.0,308,Macro
teethory,Influencer,0,0,10596,0,0.0,0.0,44182.0,0.0,0,0,48,0,10596,44182.0,48,Micro
pearlinstyle,Influencer,0,0,7693,1,0.0,0.0,49044.0,4070.0,0,0,35,1,7694,53114.0,36,Micro
ออนนีเยปอ,Influencer,10874,98018,49136,922,24420.0,46058.0,5983.0,22800.0,223,170,94,4,158950,99261.0,491,Macro
จูน June Jellyjune,Influencer,0,0,58869,401,0.0,0.0,44977.0,83600.0,0,0,72,2,59270,128577.0,74,Macro
รีวิวมนุษย์ผิวแห้ง,Influencer,117861,0,0,0,183951.0,0.0,0.0,0.0,436,0,0,0,117861,183951.0,436,Macro
มด ดวงกมล ถิระวัฒน์,Influencer,0,0,174487,12,0.0,0.0,129129.0,75300.0,0,0,493,1,174499,204429.0,494,Macro
Tewfortew,Influencer,0,0,0,13185,0.0,0.0,0.0,40900.0,0,0,0,19,13185,40900.0,19,Micro
tonnkhaw,Influencer,0,0,455115,0,0.0,0.0,63470.0,0.0,0,0,115,0,455115,63470.0,115,Micro
Znysomm,Influencer,0,0,6917,0,0.0,0.0,14085.0,0.0,0,0,12,0,6917,14085.0,12,Micro
ทราย นันทวรรณ พรชัยจันทร์เพ็ญ,Influencer,0,254701,92767,1452,0.0,28733.0,162681.0,128000.0,0,176,140,6,348920,319414.0,322,Macro
SistaCafe,Influencer,294843,15284,515939,1260,1312603.0,213702.0,307689.0,54200.0,2854,502,202,16,827326,1888194.0,3574,Mega
jomjamspch,Influencer,0,0,391823,4045,0.0,0.0,138682.0,46300.0,0,0,47,1,395868,184982.0,48,Macro
พรีม with.peachy,Influencer,0,0,6415,0,0.0,0.0,7647.0,0.0,0,0,51,0,6415,7647.0,51,Micro
Lee Gade,Influencer,0,0,3068111,0,0.0,0.0,469659.0,0.0,0,0,70,0,3068111,469659.0,70,Macro
atilalnan_,Influencer,0,0,198843,857,0.0,0.0,143087.0,16200.0,0,0,63,1,199700,159287.0,64,Macro
BEHIND the BEAUTY,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Wongnai Beauty,Influencer,1680947,74603,80215,0,1737007.0,38866.0,77546.0,0.0,4811,237,135,0,1835765,1853419.0,5183,Mega
sunnyseason,Influencer,0,29,6121,0,0.0,1464.0,4330.0,0.0,0,86,88,0,6150,5794.0,174,Nano
kapookphat,Influencer,0,0,1120175,0,0.0,0.0,136144.0,0.0,0,0,77,0,1120175,136144.0,77,Macro
Brinkkty,Influencer,157038,0,2517585,99222,82143.0,0.0,241870.0,388000.0,187,0,138,30,2773845,712013.0,355,Macro
Natt Chokejindachai,Influencer,0,0,565882,0,0.0,0.0,173902.0,0.0,0,0,72,0,565882,173902.0,72,Macro
puffpoy,Influencer,0,462,73413,0,0.0,1974.0,63635.0,0.0,0,232,34,0,73875,65609.0,266,Micro
malinmln,Influencer,0,0,1004288,329,0.0,0.0,179568.0,45400.0,0,0,167,3,1004617,224968.0,170,Macro
